1,3,0,300,4,6,7,105,106,107, 108, 8, 9, 10
1,1,100,2,100,100,100,100,100,100, 100, 100, 100, 100
1,1,300,300,300,300,300,300,300,300, 300, 300, 300, 300
301,3,101,101,4,101,101,101,101,101, 101, 101, 101, 101
302,5,302,302,302,302,302,302,302,302, 302, 302, 302, 302
303,5,102,102,102,102,102,102,102,102, 102, 102, 102, 102
6,6,6,6,6,103,6,6,6,6, 6, 6, 6, 6
7,7,7,7,7,7,104,7,7,7, 7, 7, 7, 7
109,109,109,109,109,109,109,109,109,109, 109, 109, 109, 110
112,112,112,112,112,112,112,112,112,112, 112, 111, 112, 113
304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304,304,304,114